Original Title,Authors,cleaned_title
Inv-Entropy: A Fully Probabilistic Framework for Uncertainty Quantification in Language Models,"Haoyi Song,Ruihan Ji,Naichen Shi,Fan Lai,Raed Al Kontar",inventropy fully probabilistic framework uncertainty quantification language model
Query-Level Uncertainty in Large Language Models,"Lihu Chen,Gaël Varoquaux",querylevel uncertainty large language model
Team Anotheroption at SemEval-2025 Task 8: Bridging the Gap Between Open-Source and Proprietary LLMs in Table QA,"Nikolas Evkarpidi,Elena Tutubalina",team anotheroption semeval task bridging gap opensource proprietary llm table
Using Sign Language Production as Data Augmentation to enhance Sign Language Translation,"Harry Walsh,Maksym Ivashechkin,Richard Bowden",using sign language production data augmentation enhance sign language translation
Modeling Probabilistic Reduction using Information Theory and Naive Discriminative Learning,"Anna Stein,Kevin Tang",modeling probabilistic reduction using information theory naive discriminative learning
Benchmarking Debiasing Methods for LLM-based Parameter Estimates,"Nicolas Audinet de Pieuchon,Adel Daoud,Connor T. Jerzak,Moa Johansson,Richard Johansson",benchmarking debiasing method llmbased parameter estimate
Memorization in Language Models through the Lens of Intrinsic Dimension,Stefan Arnold,memorization language model lens intrinsic dimension
Towards Open Foundation Language Model and Corpus for Macedonian: A Low-Resource Language,"Stefan Krsteski,Matea Tashkovska,Borjan Sazdov,Hristijan Gjoreski,Branislav Gerazov",towards open foundation language model corpus macedonian lowresource language
Gender Bias in English-to-Greek Machine Translation,"Eleni Gkovedarou,Joke Daems,Luna De Bruyne",gender bias englishtogreek machine translation
MEDUSA: A Multimodal Deep Fusion Multi-Stage Training Framework for Speech Emotion Recognition in Naturalistic Conditions,"Georgios Chatzichristodoulou,Despoina Kosmopoulou,Antonios Kritikos,Anastasia Poulopoulou,Efthymios Georgiou,Athanasios Katsamanis,Vassilis Katsouros,Alexandros Potamianos",medusa multimodal deep fusion multistage training framework speech emotion recognition naturalistic condition
KG-Infused RAG: Augmenting Corpus-Based RAG with External Knowledge Graphs,"Dingjun Wu,Yukun Yan,Zhenghao Liu,Zhiyuan Liu,Maosong Sun",kginfused rag augmenting corpusbased rag external knowledge graph
Give Me FP32 or Give Me Death? Challenges and Solutions for Reproducible Reasoning,"Jiayi Yuan,Hao Li,Xinheng Ding,Wenya Xie,Yu-Jhe Li,Wentian Zhao,Kun Wan,Jing Shi,Xia Hu,Zirui Liu",give give death challenge solution reproducible reasoning
Hidden in Plain Sight: Evaluation of the Deception Detection Capabilities of LLMs in Multimodal Settings,"Md Messal Monem Miah,Adrita Anika,Xi Shi,Ruihong Huang",hidden plain sight evaluation deception detection capability llm multimodal setting
PGDA-KGQA: A Prompt-Guided Generative Framework with Multiple Data Augmentation Strategies for Knowledge Graph Question Answering,"Xiujun Zhou,Pingjian Zhang,Deyou Tang",pgdakgqa promptguided generative framework multiple data augmentation strategy knowledge graph question answering
A Hierarchical Probabilistic Framework for Incremental Knowledge Tracing in Classroom Settings,"Xinyi Gao,Qiucheng Wu,Yang Zhang,Xuechen Liu,Kaizhi Qian,Ying Xu,Shiyu Chang",hierarchical probabilistic framework incremental knowledge tracing classroom setting
Comparing human and LLM politeness strategies in free production,"Haoran Zhao,Robert D.Hawkins",comparing human llm politeness strategy free production
"Binary classification for perceived quality of headlines and links on worldwide news websites, 2018-2024","Austin McCutcheon,Thiago E. A. de Oliveira,Aleksandr Zheleznov,Chris Brogly",binary classification perceived quality headline link worldwide news website
CoLMbo: Speaker Language Model for Descriptive Profiling,"Massa Baali,Shuo Han,Syed Abdul Hannan,Purusottam Samal,Karanveer Singh,Soham Deshmukh,Rita Singh,Bhiksha Raj",colmbo speaker language model descriptive profiling
Taming SQL Complexity: LLM-Based Equivalence Evaluation for Text-to-SQL,"Qingyun Zeng,Simin Ma,Arash Niknafs,Ashish Basran,Carol Szabo",taming sql complexity llmbased equivalence evaluation texttosql
DIVE into MoE: Diversity-Enhanced Reconstruction of Large Language Models from Dense into Mixture-of-Experts,"Yuchen Feng,Bowen Shen,Naibin Gu,Jiaxuan Zhao,Peng Fu,Zheng Lin,Weiping Wang",dive moe diversityenhanced reconstruction large language model dense mixtureofexperts
OmniDRCA: Parallel Speech-Text Foundation Model via Dual-Resolution Speech Representations and Contrastive Alignment,"Chao-Hong Tan,Qian Chen,Wen Wang,Chong Deng,Qinglin Zhang,Luyao Cheng,Hai Yu,Xin Zhang,Xiang Lv,Tianyu Zhao,Chong Zhang,Yukun Ma,Yafeng Chen,Hui Wang,Jiaqing Liu,Jieping Ye",omnidrca parallel speechtext foundation model via dualresolution speech representation contrastive alignment
Towards Efficient and Effective Alignment of Large Language Models,Yuxin Jiang,towards efficient effective alignment large language model
Did I Faithfully Say What I Thought? Bridging the Gap Between Neural Activity and Self-Explanations in Large Language Models,"Milan Bhan,Jean-Noel Vittaut,Nicolas Chesneau,Sarath Chandar,Marie-Jeanne Lesot",faithfully say thought bridging gap neural activity selfexplanations large language model
A Technique for Isolating Lexically-Independent Phonetic Dependencies in Generative CNNs,Bruno Ferenc Šegedin,technique isolating lexicallyindependent phonetic dependency generative cnns
Fine-Tuning Large Audio-Language Models with LoRA for Precise Temporal Localization of Prolonged Exposure Therapy Elements,"Suhas BN,Andrew M. Sherrill,Jyoti Alaparthi,Dominik Mattioli,Rosa I. Arriaga,Chris W. Wiese,Saeed Abdullah",finetuning large audiolanguage model lora precise temporal localization prolonged exposure therapy element
You Are What You Say: Exploiting Linguistic Content for VoicePrivacy Attacks,"Ünal Ege Gaznepoglu,Anna Leschanowsky,Ahmad Aloradi,Prachi Singh,Daniel Tenbrinck,Emanuël A. P. Habets,Nils Peters",say exploiting linguistic content voiceprivacy attack
OWSM-Biasing: Contextualizing Open Whisper-Style Speech Models for Automatic Speech Recognition with Dynamic Vocabulary,"Yui Sudo,Yusuke Fujita,Atsushi Kojima,Tomoya Mizumoto,Lianbo Liu",owsmbiasing contextualizing open whisperstyle speech model automatic speech recognition dynamic vocabulary
UTBoost: Rigorous Evaluation of Coding Agents on SWE-Bench,"Boxi Yu,Yuxuan Zhu,Pinjia He,Daniel Kang",utboost rigorous evaluation coding agent swebench
ThinkQE: Query Expansion via an Evolving Thinking Process,"Yibin Lei,Tao Shen,Andrew Yates",thinkqe query expansion via evolving thinking process
Adversarial Text Generation with Dynamic Contextual Perturbation,"Hetvi Waghela,Jaydip Sen,Sneha Rakshit,Subhasis Dasgupta",adversarial text generation dynamic contextual perturbation
CAIRe: Cultural Attribution of Images by Retrieval-Augmented Evaluation,"Arnav Yayavaram,Siddharth Yayavaram,Simran Khanuja,Michael Saxon,Graham Neubig",caire cultural attribution image retrievalaugmented evaluation
CDP: Towards Robust Autoregressive Visuomotor Policy Learning via Causal Diffusion,"Jiahua Ma,Yiran Qin,Yixiong Li,Xuanqi Liao,Yulan Guo,Ruimao Zhang",cdp towards robust autoregressive visuomotor policy learning via causal diffusion
Scaling-Up the Pretraining of the Earth Observation Foundation Model PhilEO to the MajorTOM Dataset,"Nikolaos Dionelis,Jente Bosmans,Riccardo Musto,Giancarlo Paoletti,Simone Sarti,Giacomo Cascarano,Casper Fibaek,Luke Camilleri,Bertrand Le Saux,Nicolas Longépé",scalingup pretraining earth observation foundation model phileo majortom dataset
SyncTalk++: High-Fidelity and Efficient Synchronized Talking Heads Synthesis Using Gaussian Splatting,"Ziqiao Peng,Wentao Hu,Junyuan Ma,Xiangyu Zhu,Xiaomei Zhang,Hao Zhao,Hui Tian,Jun He,Hongyan Liu,Zhaoxin Fan",synctalk highfidelity efficient synchronized talking head synthesis using gaussian splatting
Active InSAR monitoring of building damage in Gaza during the Israel-Hamas War,"Corey Scher,Jamon Van Den Hoek",active insar monitoring building damage gaza israelhamas war
DiFuse-Net: RGB and Dual-Pixel Depth Estimation using Window Bi-directional Parallax Attention and Cross-modal Transfer Learning,"Kunal Swami,Debtanu Gupta,Amrit Kumar Muduli,Chirag Jaiswal,Pankaj Kumar Bajpai",difusenet rgb dualpixel depth estimation using window bidirectional parallax attention crossmodal transfer learning
Iterative Camera-LiDAR Extrinsic Optimization via Surrogate Diffusion,"Ni Ou,Zhuo Chen,Xinru Zhang,Junzheng Wang",iterative cameralidar extrinsic optimization via surrogate diffusion
YOLOv11-RGBT: Towards a Comprehensive Single-Stage Multispectral Object Detection Framework,"Dahang Wan,Rongsheng Lu,Yang Fang,Xianli Lang,Shuangbao Shu,Jingjing Chen,Siyuan Shen,Ting Xu,Zecong Ye",yolovrgbt towards comprehensive singlestage multispectral object detection framework
FocalClick-XL: Towards Unified and High-quality Interactive Segmentation,"Xi Chen,Hengshuang Zhao",focalclickxl towards unified highquality interactive segmentation
Recognition through Reasoning: Reinforcing Image Geo-localization with Large Vision-Language Models,"Ling Li,Yao Zhou,Yuxuan Liang,Fugee Tsung,Jiaheng Wei",recognition reasoning reinforcing image geolocalization large visionlanguage model
DDS-NAS: Dynamic Data Selection within Neural Architecture Search via On-line Hard Example Mining applied to Image Classification,"Matt Poyser,Toby P. Breckon",ddsnas dynamic data selection within neural architecture search via online hard example mining applied image classification
3DGS-IEval-15K: A Large-scale Image Quality Evaluation Database for 3D Gaussian-Splatting,"Yuke Xing,Jiarui Wang,Peizhi Niu,Wenjie Huang,Guangtao Zhai,Yiling Xu",dgsievalk largescale image quality evaluation database gaussiansplatting
DreamLight: Towards Harmonious and Consistent Image Relighting,"Yong Liu,Wenpeng Xiao,Qianqian Wang,Junlin Chen,Shiyin Wang,Yitong Wang,Xinglong Wu,Yansong Tang",dreamlight towards harmonious consistent image relighting
Exploring Diffusion with Test-Time Training on Efficient Image Restoration,"Rongchang Lu,Tianduo Luo,Yunzhi Zhang,Conghan Yue,Pei Yang,Guibao Liu,Changyang Gu",exploring diffusion testtime training efficient image restoration
VisLanding: Monocular 3D Perception for UAV Safe Landing via Depth-Normal Synergy,"Zhuoyue Tan,Boyong He,Yuxiang Ji,Liaoni Wu",vislanding monocular perception uav safe landing via depthnormal synergy
SIRI-Bench: Challenging VLMs' Spatial Intelligence through Complex Reasoning Tasks,"Zijian Song,Xiaoxin Lin,Qiuming Huang,Guangrun Wang,Liang Lin",siribench challenging vlms spatial intelligence complex reasoning task
"MOL: Joint Estimation of Micro-Expression, Optical Flow, and Landmark via Transformer-Graph-Style Convolution","Zhiwen Shao,Yifan Cheng,Feiran Li,Yong Zhou,Xuequan Lu,Yuan Xie,Lizhuang Ma",mol joint estimation microexpression optical flow landmark via transformergraphstyle convolution
I Speak and You Find: Robust 3D Visual Grounding with Noisy and Ambiguous Speech Inputs,"Yu Qi,Lipeng Gu,Honghua Chen,Liangliang Nan,Mingqiang Wei",speak find robust visual grounding noisy ambiguous speech input
Dense360: Dense Understanding from Omnidirectional Panoramas,"Yikang Zhou,Tao Zhang,Dizhe Zhang,Shunping Ji,Xiangtai Li,Lu Qi",dense dense understanding omnidirectional panorama
Toward Rich Video Human-Motion2D Generation,"Ruihao Xi,Xuekuan Wang,Yongcheng Li,Shuhua Li,Zichen Wang,Yiwei Wang,Feng Wei,Cairong Zhao",toward rich video humanmotiond generation
GrFormer: A Novel Transformer on Grassmann Manifold for Infrared and Visible Image Fusion,"Huan Kang,Hui Li,Xiao-Jun Wu,Tianyang Xu,Rui Wang,Chunyang Cheng,Josef Kittler",grformer novel transformer grassmann manifold infrared visible image fusion
Discrete JEPA: Learning Discrete Token Representations without Reconstruction,"Junyeob Baek,Hosung Lee,Christopher Hoang,Mengye Ren,Sungjin Ahn",discrete jepa learning discrete token representation without reconstruction
DGG-XNet: A Hybrid Deep Learning Framework for Multi-Class Brain Disease Classification with Explainable AI,"Sumshun Nahar Eity,Mahin Montasir Afif,Tanisha Fairooz,Md. Mortuza Ahmmed,Md Saef Ullah Miah",dggxnet hybrid deep learning framework multiclass brain disease classification explainable
HydroChronos: Forecasting Decades of Surface Water Change,"Daniele Rege Cambrin,Eleonora Poeta,Eliana Pastor,Isaac Corley,Tania Cerquitelli,Elena Baralis,Paolo Garza",hydrochronos forecasting decade surface water change
FGA-NN: Film Grain Analysis Neural Network,"Zoubida Ameur,Frédéric Lefebvre,Philippe De Lagrange,Miloš Radosavljević",fgann film grain analysis neural network
"Leader360V: The Large-scale, Real-world 360 Video Dataset for Multi-task Learning in Diverse Environment","Weiming Zhang,Dingwen Xiao,Aobotao Dai,Yexin Liu,Tianbo Pan,Shiqi Wen,Lei Chen,Lin Wang",leaderv largescale realworld video dataset multitask learning diverse environment
Exploring Non-contrastive Self-supervised Representation Learning for Image-based Profiling,"Siran Dai,Qianqian Xu,Peisong Wen,Yang Liu,Qingming Huang",exploring noncontrastive selfsupervised representation learning imagebased profiling
Comparison of Two Methods for Stationary Incident Detection Based on Background Image,"Deepak Ghimire,Joonwhoan Lee",comparison two method stationary incident detection based background image
synth-dacl: Does Synthetic Defect Data Enhance Segmentation Accuracy and Robustness for Real-World Bridge Inspections?,"Johannes Flotzinger,Fabian Deuser,Achref Jaziri,Heiko Neumann,Norbert Oswald,Visvanathan Ramesh,Thomas Braml",synthdacl synthetic defect data enhance segmentation accuracy robustness realworld bridge inspection
Cross-Modal Geometric Hierarchy Fusion: An Implicit-Submap Driven Framework for Resilient 3D Place Recognition,"Xiaohui Jiang,Haijiang Zhu,Chadei Li,Fulin Tang,Ning An",crossmodal geometric hierarchy fusion implicitsubmap driven framework resilient place recognition
Unified Representation Space for 3D Visual Grounding,"Yinuo Zheng,Lipeng Gu,Honghua Chen,Liangliang Nan,Mingqiang Wei",unified representation space visual grounding
Egocentric Human-Object Interaction Detection: A New Benchmark and Method,"Kunyuan Deng,Yi Wang,Lap-Pui Chau",egocentric humanobject interaction detection new benchmark method
Meta-SurDiff: Classification Diffusion Model Optimized by Meta Learning is Reliable for Online Surgical Phase Recognition,"Yufei Li,Jirui Wu,Long Tian,Liming Wang,Xiaonan Liu,Zijun Liu,Xiyang Liu",metasurdiff classification diffusion model optimized meta learning reliable online surgical phase recognition
One-Shot Neural Architecture Search with Network Similarity Directed Initialization for Pathological Image Classification,Renao Yan,oneshot neural architecture search network similarity directed initialization pathological image classification
Interpreting Biomedical VLMs on High-Imbalance Out-of-Distributions: An Insight into BiomedCLIP on Radiology,"Nafiz Sadman,Farhana Zulkernine,Benjamin Kwan",interpreting biomedical vlms highimbalance outofdistributions insight biomedclip radiology
FADPNet: Frequency-Aware Dual-Path Network for Face Super-Resolution,"Siyu Xu,Wenjie Li,Guangwei Gao,Jian Yang,Guo-Jun Qi,Chia-Wen Lin",fadpnet frequencyaware dualpath network face superresolution
Disentangling 3D from Large Vision-Language Models for Controlled Portrait Generation,"Nick Yiwen Huang,Akin Caliskan,Berkay Kicanaoglu,James Tompkin,Hyeongwoo Kim",disentangling large visionlanguage model controlled portrait generation
"FindMeIfYouCan: Bringing Open Set metrics to $\textit{near} $, $ \textit{far} $ and $\textit{farther}$ Out-of-Distribution Object Detection","Daniel Montoya,Aymen Bouguerra,Alexandra Gomez-Villa,Fabio Arnez",findmeifyoucan bringing open set metric textitnear textitfar textitfarther outofdistribution object detection
OPTIMUS: Observing Persistent Transformations in Multi-temporal Unlabeled Satellite-data,"Raymond Yu,Paul Han,Josh Myers-Dean,Piper Wolters,Favyen Bastani",optimus observing persistent transformation multitemporal unlabeled satellitedata
DeSPITE: Exploring Contrastive Deep Skeleton-Pointcloud-IMU-Text Embeddings for Advanced Point Cloud Human Activity Understanding,"Thomas Kreutz,Max Mühlhäuser,Alejandro Sanchez Guinea",despite exploring contrastive deep skeletonpointcloudimutext embeddings advanced point cloud human activity understanding
CDST: Color Disentangled Style Transfer for Universal Style Reference Customization,"Shiwen Zhang,Zhuowei Chen,Lang Chen,Yanze Wu",cdst color disentangled style transfer universal style reference customization
Plug-and-Play with 2.5D Artifact Reduction Prior for Fast and Accurate Industrial Computed Tomography Reconstruction,"Haley Duba-Sullivan,Aniket Pramanik,Venkatakrishnan Singanallur,Amirkoushyar Ziabari",plugandplay artifact reduction prior fast accurate industrial computed tomography reconstruction
MobileHolo: A Lightweight Complex-Valued Deformable CNN for High-Quality Computer-Generated Hologram,"Xie Shuyang,Zhou Jie,Xu Bo,Wang Jun,Xu Renjing",mobileholo lightweight complexvalued deformable cnn highquality computergenerated hologram
Integrating Radiomics with Deep Learning Enhances Multiple Sclerosis Lesion Delineation,"Nadezhda Alsahanova,Pavel Bartenev,Maksim Sharaev,Milos Ljubisavljevic,Taleb Al. Mansoori,Yauhen Statsenko",integrating radiomics deep learning enhances multiple sclerosis lesion delineation
Towards Reliable WMH Segmentation under Domain Shift: An Application Study using Maximum Entropy Regularization to Improve Uncertainty Estimation,"Franco Matzkin,Agostina Larrazabal,Diego H Milone,Jose Dolz,Enzo Ferrante",towards reliable wmh segmentation domain shift application study using maximum entropy regularization improve uncertainty estimation
A large-scale heterogeneous 3D magnetic resonance brain imaging dataset for self-supervised learning,"Asbjørn Munk,Stefano Cerri,Jakob Ambsdorf,Julia Machnio,Sebastian Nørgaard Llambias,Vardan Nersesjan,Christian Hedeager Krag,Peirong Liu,Pablo Rocamora García,Mostafa Mehdipour Ghazi,Mikael Boesen,Michael Eriksen Benros,Juan Eugenio Iglesias,Mads Nielsen",largescale heterogeneous magnetic resonance brain imaging dataset selfsupervised learning
Compressed Video Super-Resolution based on Hierarchical Encoding,"Yuxuan Jiang,Siyue Teng,Qiang Zhu,Chen Feng,Chengxi Zeng,Fan Zhang,Shuyuan Zhu,Bing Zeng,David Bull",compressed video superresolution based hierarchical encoding
BRISC: Annotated Dataset for Brain Tumor Segmentation and Classification with Swin-HAFNet,"Amirreza Fateh,Yasin Rezvani,Sara Moayedi,Sadjad Rezvani,Fatemeh Fateh,Mansoor Fateh",brisc annotated dataset brain tumor segmentation classification swinhafnet
ImmerseGen: Agent-Guided Immersive World Generation with Alpha-Textured Proxies,"Jinyan Yuan,Bangbang Yang,Keke Wang,Panwang Pan,Lin Ma,Xuehai Zhang,Xiao Liu,Zhaopeng Cui,Yuewen Ma",immersegen agentguided immersive world generation alphatextured proxy
GAF: Gaussian Action Field as a Dvnamic World Model for Robotic Mlanipulation,"Ying Chai,Litao Deng,Ruizhi Shao,Jiajun Zhang,Liangjun Xing,Hongwen Zhang,Yebin Liu",gaf gaussian action field dvnamic world model robotic mlanipulation
Déjà Vu: Efficient Video-Language Query Engine with Learning-based Inter-Frame Computation Reuse,"Jinwoo Hwang,Daeun Kim,Sangyeop Lee,Yoonsung Kim,Guseul Heo,Hojoon Kim,Yunseok Jeong,Tadiwos Meaza,Eunhyeok Park,Jeongseob Ahn,Jongse Park",efficient videolanguage query engine learningbased interframe computation reuse
PF-LHM: 3D Animatable Avatar Reconstruction from Pose-free Articulated Human Images,"Lingteng Qiu,Peihao Li,Qi Zuo,Xiaodong Gu,Yuan Dong,Weihao Yuan,Siyu Zhu,Xiaoguang Han,Guanying Chen,Zilong Dong",pflhm animatable avatar reconstruction posefree articulated human image
AutoVLA: A Vision-Language-Action Model for End-to-End Autonomous Driving with Adaptive Reasoning and Reinforcement Fine-Tuning,"Zewei Zhou,Tianhui Cai,Seth Z. Zhao,Yun Zhang,Zhiyu Huang,Bolei Zhou,Jiaqi Ma",autovla visionlanguageaction model endtoend autonomous driving adaptive reasoning reinforcement finetuning
Test3R: Learning to Reconstruct 3D at Test Time,"Yuheng Yuan,Qiuhong Shen,Shizun Wang,Xingyi Yang,Xinchao Wang",testr learning reconstruct test time
OTFusion: Bridging Vision-only and Vision-Language Models via Optimal Transport for Transductive Zero-Shot Learning,"Qiyu Xu,Wenyang Chen,Zhanxuan Hu,Huafeng Li,Yonghang Tai",otfusion bridging visiononly visionlanguage model via optimal transport transductive zeroshot learning
How Real is CARLAs Dynamic Vision Sensor? A Study on the Sim-to-Real Gap in Traffic Object Detection,"Kaiyuan Tan,Pavan Kumar B N,Bharatesh Chakravarthi",real carlas dynamic vision sensor study simtoreal gap traffic object detection
Vid-CamEdit: Video Camera Trajectory Editing with Generative Rendering from Estimated Geometry,"Junyoung Seo,Jisang Han,Jaewoo Jung,Siyoon Jin,Joungbin Lee,Takuya Narihira,Kazumi Fukuda,Takashi Shibuya,Donghoon Ahn,Shoukang Hu,Seungryong Kim,Yuki Mitsufuji",vidcamedit video camera trajectory editing generative rendering estimated geometry
UltraVideo: High-Quality UHD Video Dataset with Comprehensive Captions,"Zhucun Xue,Jiangning Zhang,Teng Hu,Haoyang He,Yinan Chen,Yuxuan Cai,Yabiao Wang,Chengjie Wang,Yong Liu,Xiangtai Li,Dacheng Tao",ultravideo highquality uhd video dataset comprehensive caption
FreeQ-Graph: Free-form Querying with Semantic Consistent Scene Graph for 3D Scene Understanding,"Chenlu Zhan,Gaoang Wang,Hongwei Wang",freeqgraph freeform querying semantic consistent scene graph scene understanding
Dive3D: Diverse Distillation-based Text-to-3D Generation via Score Implicit Matching,"Weimin Bai,Yubo Li,Wenzheng Chen,Weijian Luo,He Sun",dived diverse distillationbased texttod generation via score implicit matching
Omni-AdaVideoRAG: Omni-Contextual Adaptive Retrieval-Augmented for Efficient Long Video Understanding,"Zhucun Xue,Jiangning Zhang,Xurong Xie,Yuxuan Cai,Yong Liu,Xiangtai Li,Dacheng Tao",omniadavideorag omnicontextual adaptive retrievalaugmented efficient long video understanding
Integrated Pipeline for Monocular 3D Reconstruction and Finite Element Simulation in Industrial Applications,Bowen Zheng,integrated pipeline monocular reconstruction finite element simulation industrial application
MambaMia: A State-Space-Model-Based Compression for Efficient Video Understanding in Large Multimodal Models,"Geewook Kim,Minjoon Seo",mambamia statespacemodelbased compression efficient video understanding large multimodal model
X-Scene: Large-Scale Driving Scene Generation with High Fidelity and Flexible Controllability,"Yu Yang,Alan Liang,Jianbiao Mei,Yukai Ma,Yong Liu,Gim Hee Lee",xscene largescale driving scene generation high fidelity flexible controllability
RelTopo: Enhancing Relational Modeling for Driving Scene Topology Reasoning,"Yueru Luo,Changqing Zhou,Yiming Yang,Erlong Li,Chao Zheng,Shuqi Mei,Shuguang Cui,Zhen Li",reltopo enhancing relational modeling driving scene topology reasoning
"A Comprehensive Survey on Video Scene Parsing:Advances, Challenges, and Prospects","Guohuan Xie,Syed Ariff Syed Hesham,Wenya Guo,Bing Li,Ming-Ming Cheng,Guolei Sun,Yun Liu",comprehensive survey video scene parsingadvances challenge prospect
Limited-Angle CBCT Reconstruction via Geometry-Integrated Cycle-domain Denoising Diffusion Probabilistic Models,"Yuan Gao,Shaoyan Pan,Mingzhe Hu,Huiqiao Xie,Jill Remick,Chih-Wei Chang,Justin Roper,Zhen Tian,Xiaofeng Yang",limitedangle cbct reconstruction via geometryintegrated cycledomain denoising diffusion probabilistic model
Atomizer: Generalizing to new modalities by breaking satellite images down to a set of scalars,"Hugo Riffaud de Turckheim,Sylvain Lobry,Roberto Interdonato,Diego Marcos",atomizer generalizing new modality breaking satellite image set scalar
Micro-macro Gaussian Splatting with Enhanced Scalability for Unconstrained Scene Reconstruction,"Yihui Li,Chengxin Lv,Hongyu Yang,Di Huang",micromacro gaussian splatting enhanced scalability unconstrained scene reconstruction
A Semantically-Aware Relevance Measure for Content-Based Medical Image Retrieval Evaluation,"Xiaoyang Wei,Camille Kurtz,Florence Cloppet",semanticallyaware relevance measure contentbased medical image retrieval evaluation
Multiview Geometric Regularization of Gaussian Splatting for Accurate Radiance Fields,"Jungeon Kim,Geonsoo Park,Seungyong Lee",multiview geometric regularization gaussian splatting accurate radiance field
Stimulus Motion Perception Studies Imply Specific Neural Computations in Human Visual Stabilization,"David W Arathorn,Josephine C. D'Angelo,Austin Roorda",stimulus motion perception study imply specific neural computation human visual stabilization
FOAM: A General Frequency-Optimized Anti-Overlapping Framework for Overlapping Object Perception,"Mingyuan Li,Tong Jia,Han Gu,Hui Lu,Hao Wang,Bowen Ma,Shuyang Lin,Shiyi Guo,Shizhuo Deng,Dongyue Chen",foam general frequencyoptimized antioverlapping framework overlapping object perception
GeoSDF: Plane Geometry Diagram Synthesis via Signed Distance Field,"Chengrui Zhang,Maizhen Ning,Zihao Zhou,Jie Sun,Kaizhu Huang,Qiufeng Wang",geosdf plane geometry diagram synthesis via signed distance field
Deep Diffusion Models and Unsupervised Hyperspectral Unmixing for Realistic Abundance Map Synthesis,"Martina Pastorino,Michael Alibani,Nicola Acito,Gabriele Moser",deep diffusion model unsupervised hyperspectral unmixing realistic abundance map synthesis
SA-LUT: Spatial Adaptive 4D Look-Up Table for Photorealistic Style Transfer,"Zerui Gong,Zhonghua Wu,Qingyi Tao,Qinyue Li,Chen Change Loy",salut spatial adaptive lookup table photorealistic style transfer
Deep Learning-Based Multi-Object Tracking: A Comprehensive Survey from Foundations to State-of-the-Art,Momir Adžemović,deep learningbased multiobject tracking comprehensive survey foundation stateoftheart
Overcoming Occlusions in the Wild: A Multi-Task Age Head Approach to Age Estimation,"Waqar Tanveer,Laura Fernández-Robles,Eduardo Fidalgo,Víctor González-Castro,Enrique Alegre",overcoming occlusion wild multitask age head approach age estimation
Self-Supervised Enhancement for Depth from a Lightweight ToF Sensor with Monocular Images,"Laiyan Ding,Hualie Jiang,Jiwei Chen,Rui Huang",selfsupervised enhancement depth lightweight tof sensor monocular image
Sparse Convolutional Recurrent Learning for Efficient Event-based Neuromorphic Object Detection,"Shenqi Wang,Yingfu Xu,Amirreza Yousefzadeh,Sherif Eissa,Henk Corporaal,Federico Corradi,Guangzhi Tang",sparse convolutional recurrent learning efficient eventbased neuromorphic object detection
Uncertainty-Aware Remaining Lifespan Prediction from Images,"Tristan Kenneweg,Philip Kenneweg,Barbara Hammer",uncertaintyaware remaining lifespan prediction image
Zero-Shot Solving of Imaging Inverse Problems via Noise-Refined Likelihood Guided Diffusion Models,"Zhen Wang,Hongyi Liu,Zhihui Wei",zeroshot solving imaging inverse problem via noiserefined likelihood guided diffusion model
TR2M: Transferring Monocular Relative Depth to Metric Depth with Language Descriptions and Scale-Oriented Contrast,"Beilei Cui,Yiming Huang,Long Bai,Hongliang Ren",trm transferring monocular relative depth metric depth language description scaleoriented contrast
DicFace: Dirichlet-Constrained Variational Codebook Learning for Temporally Coherent Video Face Restoration,"Yan Chen,Hanlin Shang,Ce Liu,Yuxuan Chen,Hui Li,Weihao Yuan,Hao Zhu,Zilong Dong,Siyu Zhu",dicface dirichletconstrained variational codebook learning temporally coherent video face restoration
Advancing Image-Based Grapevine Variety Classification with a New Benchmark and Evaluation of Masked Autoencoders,"Gabriel A. Carneiro,Thierry J. Aubry,António Cunha,Petia Radeva,Joaquim Sousa",advancing imagebased grapevine variety classification new benchmark evaluation masked autoencoders
"Joint Analysis of Optical and SAR Vegetation Indices for Vineyard Monitoring: Assessing Biomass Dynamics and Phenological Stages over Po Valley, Italy","Andrea Bergamaschi,Abhinav Verma,Avik Bhattacharya,Fabio Dell'Acqua",joint analysis optical sar vegetation index vineyard monitoring assessing biomass dynamic phenological stage valley italy
VIS-Shepherd: Constructing Critic for LLM-based Data Visualization Generation,"Bo Pan,Yixiao Fu,Ke Wang,Junyu Lu,Lunke Pan,Ziyang Qian,Yuhan Chen,Guoliang Wang,Yitao Zhou,Li Zheng,Yinghao Tang,Zhen Wen,Yuchen Wu,Junhua Lu,Biao Zhu,Minfeng Zhu,Bo Zhang,Wei Chen",visshepherd constructing critic llmbased data visualization generation
AttentionDrag: Exploiting Latent Correlation Knowledge in Pre-trained Diffusion Models for Image Editing,"Biao Yang,Muqi Huang,Yuhui Zhang,Yun Xiong,Kun Zhou,Xi Chen,Shiyang Zhou,Huishuai Bao,Chuan Li,Feng Shi,Hualei Liu",attentiondrag exploiting latent correlation knowledge pretrained diffusion model image editing
Anomaly Object Segmentation with Vision-Language Models for Steel Scrap Recycling,"Daichi Tanaka,Takumi Karasawa,Shu Takenouchi,Rei Kawakami",anomaly object segmentation visionlanguage model steel scrap recycling
